fopen()	   Открывает файл
fclose()   Закрывает файл
putc()	   Записывает символ в файл
fputc()	   То же, что и putc()
getc()	   Читает символ из файла
fgetc()	   То же, что и getc()
fgets()	   Читает строку из файла
fputs()	   Записывает строку в файл
fseek()	   Устанавливает указатель текущей позиции на определенный байт файла
ftell()	   Возвращает текущее значение указателя текущей позиции в файле
fprintf()  Для файла то же, что printf() для консоли
fscanf()   Для файла то же, что scanf() для консоли
feof()	   Возвращает значение true (истина), если достигнут конец файла
ferror()   Возвращает значение true (истина), если произошла ошибка
rewind()   Устанавливает указатель текущей позиции в начало файла
remove()   Стирает файл
fflush()   Дозапись потока в файл
